accuracy;accuracy_balanced;alpha;balanced_brier_score;brier_score;dataset;est_alpha;estimator;log_loss;mean_poster;n_mix;n_pos;precision;random_state;real_alpha;recall;roc
0,97751;0,8335100000000001;0,95;;0,017159999999999998;spambase;0,95;em_en;0,15822999999999998;0,95235;2935;1666;0,9829700000000001;9;0,94991;0,99354;0,9824799999999999
0,94216;0,92053;0,75;;0,046830000000000004;spambase;0,7528100000000001;dedpul;0,2559;0,7500100000000001;3717;884;0,9593;0;0,75007;0,9637700000000001;0,9767100000000001
0,94216;0,92053;0,75;;0,046830000000000004;spambase;0,7528100000000001;random_dedpul;0,2559;0,7500100000000001;3717;884;0,9593;0;0,75007;0,9637700000000001;0,9767100000000001
0,94216;0,92053;0,75;;0,046830000000000004;spambase;0,7528100000000001;baseline_dedpul;0,2559;0,7500100000000001;3717;884;0,9593;0;0,75007;0,9637700000000001;0,9767100000000001
0,9166;0,8482299999999999;0,75;;0,05935;spambase;0,75;e1_en;0,2861;0,80215;3717;884;0,9110799999999999;0;0,75007;0,9849399999999999;0,9771700000000001
0,9166;0,8482299999999999;0,75;;0,05935;spambase;0,75;e3_en;0,2861;0,80215;3717;884;0,9110799999999999;0;0,75007;0,9849399999999999;0,9771700000000001
0,9166;0,8482299999999999;0,75;;0,05935;spambase;0,75;em_en;0,2861;0,80215;3717;884;0,9110799999999999;0;0,75007;0,9849399999999999;0,9771700000000001
0,9319299999999999;0,89505;0,75;;0,05227999999999999;spambase;0,76965;dedpul;0,19087;0,7500100000000001;3717;884;0,9421;1;0,75007;0,9687899999999999;0,97321
0,9319299999999999;0,89505;0,75;;0,05227999999999999;spambase;0,76965;random_dedpul;0,19087;0,7500100000000001;3717;884;0,9421;1;0,75007;0,9687899999999999;0,97321
0,9319299999999999;0,89505;0,75;;0,05227999999999999;spambase;0,76965;baseline_dedpul;0,19087;0,7500100000000001;3717;884;0,9421;1;0,75007;0,9687899999999999;0,97321
0,91364;0,8491200000000001;0,75;;0,062020000000000006;spambase;0,75;e1_en;0,30982;0,79824;3717;884;0,91296;1;0,75007;0,9781200000000001;0,97316
0,91364;0,8491200000000001;0,75;;0,062020000000000006;spambase;0,75;e3_en;0,30982;0,79824;3717;884;0,91296;1;0,75007;0,9781200000000001;0,97316
0,91364;0,8491200000000001;0,75;;0,062020000000000006;spambase;0,75;em_en;0,30982;0,79824;3717;884;0,91296;1;0,75007;0,9781200000000001;0,97316
0,9424299999999999;0,9257299999999999;0,75;;0,047060000000000005;spambase;0,75754;dedpul;0,32954;0,75;3717;884;0,96395;2;0,75007;0,95911;0,9753799999999999
0,9424299999999999;0,9257299999999999;0,75;;0,047060000000000005;spambase;0,75754;random_dedpul;0,32954;0,75;3717;884;0,96395;2;0,75007;0,95911;0,9753799999999999
0,9424299999999999;0,9257299999999999;0,75;;0,047060000000000005;spambase;0,75754;baseline_dedpul;0,32954;0,75;3717;884;0,96395;2;0,75007;0,95911;0,9753799999999999
0,91848;0,8555799999999999;0,75;;0,05798;spambase;0,75;e1_en;0,2523;0,80301;3717;884;0,9159700000000001;2;0,75007;0,98135;0,97616
0,91848;0,8555799999999999;0,75;;0,05798;spambase;0,75;e3_en;0,2523;0,80301;3717;884;0,9159700000000001;2;0,75007;0,98135;0,97616
0,91848;0,8555799999999999;0,75;;0,05798;spambase;0,75;em_en;0,2523;0,80301;3717;884;0,9159700000000001;2;0,75007;0,98135;0,97616
0,93489;0,91748;0,75;;0,050789999999999995;spambase;0,7637;dedpul;0,33432;0,75;3717;884;0,9605600000000001;3;0,75007;0,9523;0,97241
0,93489;0,91748;0,75;;0,050789999999999995;spambase;0,7637;random_dedpul;0,33432;0,75;3717;884;0,9605600000000001;3;0,75007;0,9523;0,97241
0,93489;0,91748;0,75;;0,050789999999999995;spambase;0,7637;baseline_dedpul;0,33432;0,75;3717;884;0,9605600000000001;3;0,75007;0,9523;0,97241
0,91445;0,84751;0,75;;0,060529999999999994;spambase;0,75;e1_en;0,32315;0,79647;3717;884;0,9113899999999999;3;0,75007;0,98135;0,97246
0,91445;0,84751;0,75;;0,060529999999999994;spambase;0,75;e3_en;0,32315;0,79647;3717;884;0,9113899999999999;3;0,75007;0,98135;0,97246
0,91445;0,84751;0,75;;0,060529999999999994;spambase;0,75;em_en;0,32315;0,79647;3717;884;0,9113899999999999;3;0,75007;0,98135;0,97246
0,9305899999999999;0,8999;0,75;;0,05112;spambase;0,73773;dedpul;0,38578;0,7499899999999999;3717;884;0,9470000000000001;4;0,75007;0,96126;0,97367
0,9305899999999999;0,8999;0,75;;0,05112;spambase;0,73773;random_dedpul;0,38578;0,7499899999999999;3717;884;0,9470000000000001;4;0,75007;0,96126;0,97367
0,9305899999999999;0,8999;0,75;;0,05112;spambase;0,73773;baseline_dedpul;0,38578;0,7499899999999999;3717;884;0,9470000000000001;4;0,75007;0,96126;0,97367
0,91794;0,8537899999999999;0,75;;0,061070000000000006;spambase;0,75;e1_en;0,28209;0,79873;3717;884;0,9148;4;0,75007;0,9820700000000001;0,9743299999999999
0,91794;0,8537899999999999;0,75;;0,061070000000000006;spambase;0,75;e3_en;0,28209;0,79873;3717;884;0,9148;4;0,75007;0,9820700000000001;0,9743299999999999
0,91794;0,8537899999999999;0,75;;0,061070000000000006;spambase;0,75;em_en;0,28209;0,79873;3717;884;0,9148;4;0,75007;0,9820700000000001;0,9743299999999999
0,9405399999999999;0,92914;0,75;;0,04883;spambase;0,74973;dedpul;0,23688;0,7500100000000001;3717;884;0,96826;5;0,75007;0,95194;0,9705
0,9405399999999999;0,92914;0,75;;0,04883;spambase;0,74973;random_dedpul;0,23688;0,7500100000000001;3717;884;0,96826;5;0,75007;0,95194;0,9705
0,9405399999999999;0,92914;0,75;;0,04883;spambase;0,74973;baseline_dedpul;0,23688;0,7500100000000001;3717;884;0,96826;5;0,75007;0,95194;0,9705
0,91041;0,8405100000000001;0,75;;0,06215;spambase;0,75;e1_en;0,30085;0,80307;3717;884;0,9076700000000001;5;0,75007;0,9802700000000001;0,9708399999999999
0,91041;0,8405100000000001;0,75;;0,06215;spambase;0,75;e3_en;0,30085;0,80307;3717;884;0,9076700000000001;5;0,75007;0,9802700000000001;0,9708399999999999
