accuracy;accuracy_balanced;alpha;brier_score;cons_alpha;distribution;dmu;ds;est_alpha;estimator;log_loss;mae;mean_poster;precision;random_state;recall;rmse;roc
0,9028;0,54337;0,05;0,06842000000000001;0,03161;laplace;1;1;0,05641;dedpul;1,21527;0,06224;0,05641;0,11688;8;0,14400000000000002;0,15242;0,62107
0,9028;0,54337;0,05;0,06842000000000001;0,03161;laplace;1;1;0,05641;random_dedpul;1,21527;0,06224;0,05641;0,11688;8;0,14400000000000002;0,15242;0,62107
0,8984;0,55242;0,05;0,07201;0,03161;laplace;1;1;0,18336;baseline_dedpul;0,75732;0,06711;0,08755;0,12280999999999999;8;0,168;0,16708;0,68099
0,9448;0,50484;0,05;0,05218;0,03161;laplace;1;1;0,00156;e1_en;0,76858;0,03655;0,04775;0,11765;8;0,016;0,08073999999999999;0,67475
0,9404;0,50253;0,05;0,0552;0,03161;laplace;1;1;0,08765;e3_en;0,22301999999999997;0,06311;0,09361;0,07143;8;0,016;0,1059;0,69829
0,9408;0,50274;0,05;0,05491;0,03161;laplace;1;1;0,083;em_en;0,22616;0,05975;0,08935;0,07407000000000001;8;0,016;0,10372999999999999;0,69848
0,9316;0,49032;0,05;0,06312000000000001;0,03161;laplace;1;1;0,037989999999999996;dedpul;0,81707;0,04629;0,038;0,0;9;0,0;0,1313;0,64505
0,9316;0,49032;0,05;0,06312000000000001;0,03161;laplace;1;1;0,037989999999999996;random_dedpul;0,81707;0,04629;0,038;0,0;9;0,0;0,1313;0,64505
0,9276;0,48821000000000003;0,05;0,07232000000000001;0,03161;laplace;1;1;0,21736;baseline_dedpul;0,52725;0,10703;0,13623;0,0;9;0,0;0,17475;0,66487
0,9496;0,49978999999999996;0,05;0,05031;0,03161;laplace;1;1;0,0;e1_en;0,58117;0,03501;0,02814;0,0;9;0,0;0,06717999999999999;0,6501899999999999
0,9484;0,49916000000000005;0,05;0,05055;0,03161;laplace;1;1;0,06971000000000001;e3_en;0,25014000000000003;0,04842;0,07467;0,0;9;0,0;0,08123;0,66088
0,9484;0,49916000000000005;0,05;0,05019;0,03161;laplace;1;1;0,06;em_en;0,28371;0,04186;0,06589;0,0;9;0,0;0,07692;0,66113
0,7416;0,59573;0,25;0,17494;0,15803;laplace;1;1;0,23362;dedpul;1,74068;0,09527999999999999;0,23363;0,47381999999999996;0;0,304;0,12743;0,6976399999999999
0,7416;0,59573;0,25;0,17494;0,15803;laplace;1;1;0,23362;random_dedpul;1,74068;0,09527999999999999;0,23363;0,47381999999999996;0;0,304;0,12743;0,6976399999999999
0,5788;0,64987;0,25;0,22299000000000002;0,15803;laplace;1;1;0,50034;baseline_dedpul;1,6397400000000002;0,24356999999999998;0,39866999999999997;0,34908;0;0,792;0,30286;0,69903
0,75;0,5;0,25;0,18687;0,15803;laplace;1;1;0,022959999999999998;e1_en;2,18772;0,04963;0,10733;0,0;0;0,0;0,08174;0,7119300000000001
0,7476;0,51067;0,25;0,17081;0,15803;laplace;1;1;0,25801;e3_en;0,70444;0,10545999999999998;0,26032;0,44231000000000004;0;0,0368;0,13322;0,71219
0,7456;0,5792;0,25;0,17718;0,15803;laplace;1;1;0,33065;em_en;0,57308;0,17557;0,33066;0,48276;0;0,2464;0,1952;0,71213
0,7484;0,49946999999999997;0,25;0,19205;0,15803;laplace;1;1;0,09318;dedpul;2,41155;0,06508;0,09319;0,16667;1;0,0016;0,10202;0,7179399999999999
0,7484;0,49946999999999997;0,25;0,19205;0,15803;laplace;1;1;0,09318;random_dedpul;2,41155;0,06508;0,09319;0,16667;1;0,0016;0,10202;0,7179399999999999
0,7384;0,6842699999999999;0,25;0,18255;0,15803;laplace;1;1;0,41252;baseline_dedpul;0,73419;0,2029;0,35796;0,48063999999999996;1;0,5760000000000001;0,22739;0,7233
0,7492;0,49946999999999997;0,25;0,20302;0,15803;laplace;1;1;0,005379999999999999;e1_en;2,41918;0,08819;0,06738999999999999;0,0;1;0,0;0,13626;0,72045
0,7468;0,50427;0,25;0,16896;0,15803;laplace;1;1;0,22088000000000002;e3_en;0,66315;0,10236;0,2265;0,375;1;0,0192;0,11971;0,7260300000000001
0,748;0,63307;0,25;0,20085;0,15803;laplace;1;1;0,4212;em_en;0,61635;0,26614;0,42121000000000003;0,49509;1;0,4032;0,28970999999999997;0,72593
0,75;0,5;0,25;0,17190999999999998;0,15803;laplace;1;1;0,15615;dedpul;2,46435;0,02083;0,15616;0,0;2;0,0;0,03695;0,72049
0,75;0,5;0,25;0,17190999999999998;0,15803;laplace;1;1;0,15615;random_dedpul;2,46435;0,02083;0,15616;0,0;2;0,0;0,03695;0,72049
0,738;0,6328;0,25;0,17192000000000002;0,15803;laplace;1;1;0,34045;baseline_dedpul;2,28896;0,07445;0,22766;0,47312;2;0,4224;0,1091;0,72364
0,746;0,50053;0,25;0,18822;0,15803;laplace;1;1;0,017169999999999998;e1_en;2,4720299999999997;0,06534;0,0998;0,27273000000000003;2;0,0096;0,09835;0,7216899999999999
0,7496;0,53013;0,25;0,16632;0,15803;laplace;1;1;0,20576;e3_en;0,68402;0,06484;0,21151;0,49565;2;0,0912;0,08081;0,72619
0,748;0,52373;0,25;0,16766;0,15803;laplace;1;1;0,188;em_en;0,91571;0,05437;0,19576;0,47475;2;0,0752;0,07048;0,72646
0,7476;0,51867;0,25;0,18819;0,15803;laplace;1;1;0,12889;dedpul;2,26373;0,060160000000000005;0,1289;0,46341000000000004;3;0,0608;0,11277999999999999;0,72383
0,7476;0,51867;0,25;0,18819;0,15803;laplace;1;1;0,12889;random_dedpul;2,26373;0,060160000000000005;0,1289;0,46341000000000004;3;0,0608;0,11277999999999999;0,72383
0,7412;0,5512;0,25;0,17023;0,15803;laplace;1;1;0,34267;baseline_dedpul;0,72643;0,09898;0,25593;0,45338999999999996;3;0,1712;0,13284;0,72469
